artist,song,lyrics,genres,genre_1,genre_2,genre_3
Kevin Gates,Discussion,"Sometimes you got to put your pride to the side in this game that we call life

You know I'm tryna get back to my kids you know I can't win with these crackers I'm a nigga and they look at me like a nigga



No self work being honest

But I converse with some bosses

I'm a real earner and I work hard

Thank you God look what I accomplished

Inside support system awkward

Take time with trial only options

Division nine, no PC in Chicago, fighting drama

My relationship getting rocky

No spousal trust I was moving unconscious

I was talking with Jay and

Recruited a move that allowed me counsel

Back and forth without representation embarrassing ran out of options

Told my attorney go get with the DA he come with a deal and I'm copping

Aiming for 36 months but he came with a 30 so fuck it I signed it

He think I'm stupid fuck what he think

I ain't fight with them crackers I got out they way

Stateville, now I'm going up state with the gang members they respectin my name

You one of the mean you play with the kid

You gon have to kill em you one of the greats



No need to say it, I was suffering

My head hurt concussion

Broke bed on me fuck it

I don't think they really love me

Trust issues I'm accustomed

Writers block no question nah

Already know you gon lie to me ain't no need to dicuss it

Ain't no need to discuss it

We have a heated discussion

Internet beef I don't entertain

I know I done came up from nothing

I'm getting straight to the money

I'm getting straight to the money

Already know you gon lie to me no ain't need to dicuss it



I'm an energy person and I'm at ease

But the minute you hurt me you gotta leave

Got some niggas who love me they outta reach

Got some children who coming up gotta teach

Got some family who mad cause they trynna leach

Got some big booty woman who I don't need

Master manipulation been manipulated but it really don't bother me

Gold trim platinum matte white Benz

V12 yellow color baguettes

Red guts panoramic my roof

Any moment I can hop in a jet

In the weight room getting rid of weight

Pat touchdown doin a set

Hit the space bar click and refresh

Making salat when I need to reset

Turnin the pot got me whipping the vet



Communication with the joint

Still going in tryna prove a point

I don; t socialize I don't see a point

50 wrapped up in a bump

Underneath the trunk

Order what you want

Laying in the trunk sipping red wine

I don't give a fuck

I do what I want



No need to say it, I was suffering

My head hurt concussion

Broke bed on me fuck it

I don't think they really love me

Trust issues I'm accustomed

Writers block no question nah

Already know you gon lie to me ain't no need to dicuss it

Ain't no need to discuss it

We have a heated discussion

Internet beef I don't entertain

I know I done came up from nothing

I'm getting straight to the money

I'm getting straight to the money

Already know you gon lie to me no ain't need to dicuss it","hip-hop, rap, trap",hip-hop,rap,trap
Kevin Gates,Plug Daughter,"[Intro:]

A lot of motherfuckers ain't know I was Puerto Rican

They thought I was black ya heard me

I come on the front of the Narco Trafficante I get to telling them motherfuckers ""Yo mato por nada""

They like ""What that mean?""

I had to tell em', that mean I kill for nothin'

BWA, Bread Winners Association

I don't get tired

You know I'm all the way out there




[Hook:]

I'm fucking with the plug daughter

I'm fucking with the plug daughter

We get road side assistance when we placing orders

Wrap the money up and then we send it 'cross the water

I'm fucking with the plug daughter

I'm fucking with the plug daughter

I'm tied in with Diego, they treat me like family

And if I ever leave her they gon' kill my family




[Verse 1:]

In the middle of the kitchen

Water-whipping me a chicken

Breakin' down a brick on a island

Granite counter top with Italian marble

No, I really meant we own a island

Duct tape and a box cutter

Took a seven out em', bout to drop somethin'

Test her with me, gotta test a piece of this recipe

When I cop somethin

(Swear to God I cook the bitch and don't jump man

I ain't buying shit)

Interesting, get rich, I'mma stay with my bitch

And legitimate dealings my name don't exist

Never flake: I get hit then I'm taking my lick

And they know that I'm solid, 13 caught a body

Don't be with nobody, I be with them bands

My people just see me, he need an advance

He know that this platinum he don't need no cash

He know that we family, I'll lend him my last

Turn up in Phantoms and turn up in Jags

We shop in designer, we changing the climate

Ball in the mall and we leaving with bags

Money no object, we fuck up the profit

Cameras is watchin', sometimes I feel like the cameras is watchin'

In love with Luca Brasi I got coke I'm in the mafia




[Hook]",,,,
Diddy-Dirty Money,Ass On The Floor,"[Swizz Beatz]

When you're in the club, get your ass on the floor

When you're in the club, get your ass on the floor

When you're in the club, get your ass on the floor

When-When you're in the club, get your ass on the floor

Them haters can't tell you nothing

Them haters can't tell me nothing

Them haters can't tell you nothing


[x2]




[Dirty Money]

You're the love of my life

But you hurt my heart twice

Now I'm drunker than a motherfucker

Trying to find my way back to your heart you motherfucker

So I know, there's a price,

when you're running on ice and you drunker than a motherfucker

Trying to find your way back to love you

You motherfucker



Baby you know, just what to do

I know you know the truth

And we will never lose

There's no me without no you

I give my soul to you




[Swizz Beatz]

When you're in the club, get your ass on the floor

When you're in the club, get your ass on the floor

When you're in the club, get your ass on the floor

When-When you're in the club, get your ass on the floor

Them haters can't tell you nothing

Them haters can't tell me nothing

Them haters can't tell you nothing


[x2]




[Dirty Money]

So, made me cry don't you hurt, hurt my pride

Got me madder than a motherfucker

Trying to fight my way back to your heart you motherfucker

can you wait, give my brain, in your arms I feel safe

Shit you know deep down, I will always love you

Trying to find your way back to my heart you motherfucker




[Chorus]




[Diddy]

Yo turn me up, I'mma make sure she can hear me

Yo, that's girls gonna get you, motherfucker

Smoke weed, listening to Sade

I left my pain in Paris

Why can't you see shit my way?

You on that lonely highway

My car's still on that driveway

Feels like I'm dying slowly

Feels like what more can I say

I made you face your fears

I think we could have made it

Thought I told you I love you

Maybe we should have waited

How could you ever doubt me?

When I stood by you proudly

I would have gave my last breath

Now you can't breath without me




[Dirty Money]

Oh when you're in the club yeah

All you think about your baby 
[x2]

Baby I want you to need me

I need you

You want me, I want you to love me forever



Baby I want you, I need you, to love me,

I want you to need me and love me forever




[Swizz Beatz]

When you're in the club, get your ass on the floor

When you're in the club, get your ass on the floor

When you're in the club, get your ass on the floor

When-When you're in the club, get your ass on the floor

Them haters can't tell you nothing

Them haters can't tell me nothing

Them haters can't tell you nothing


[x2]","hip-hop, rnb, rap",hip-hop,rnb,rap
Ace Hood,Facts,"Bobby Kritical



Uh

No recalls on the foreign nigga

Never had to bring May back (Maybach)

I don't really trust these guys

Niggas know I had to bring my strap (Ooh)

Shorty say the pussy too good

If it is gotta run it all back (Gotta run it all back)

Niggas never say it to your face

They all talk shit behind a nigga back, facts



Real nigga (Real nigga), facts (Facts)

Go-getter (Go-getter), facts (Facts)

Gettin' money (Gettin' money), more money (More money)

Counting money (Counting money), facts

Young nigga gettin' to it

Gettin' to it, facts

Blessed up (Blessed up), blessed up (Blessed up)

Way up, facts



No recalls on the foreign nigga

Never had to bring May back (Had to bring May back)

I don't really trust these guys

Niggas know I had to bring my strap (Had to bring my strap)

Shorty say the pussy too good

If it is gotta run it all back (Gotta run it all back)

Niggas never say it to your face

They all talk shit behind a nigga back, facts



I'm just in the bitty gotta do me

Ballin' like a nigga with a 2, 3

Water diamonds on me got a slow leak

Kush getting rolled with a fresh leaf

Niggas trying to catch that vibe

Niggas never cross that line (Cross that line)

Shorty nearly lost her mind

When she seen the shit I'm whippin' outside (What I'm whippin' outside)

Boy too juiced

Really nigga raised from the roots

Terminator chains in the booth (Ooh)

Came with the crew

Niggas never 'round when you down

When you up, everybody wanna ball (Everybody wanna ball)

Tell me where you were back when

I was pissin' on the project wall (On the project wall)

Standing in the paint with the best nigga

Feelin' like I'm 8-feet tall (Like I'm 8-feet tall), uh

Niggas in their feelings these days

I can see the jealous in their face

Ain't shit change?

Same old kettle, new flame

You would sell your soul for the fame

Black Mulsanne

Smokin' on a little propane

Niggas probably tell you I changed

I don't understand

Fuck! Am I suppose to stay the same? (Stay the same?)

Facts



No recalls on the foreign nigga

Never had to bring May back (Maybach)

I don't really trust these guys

Niggas know I had to bring my strap (Ooh)

Shorty say the pussy too good

If it is gotta run it all back (Gotta run it all back)

Niggas never say it to your face

They all talk shit behind a nigga back, facts



Real nigga (Real nigga), facts (Facts)

Go-getter (go-getter), facts (Facts)

Gettin' money (Gettin' money), more money (More money)

Counting money (Counting money) facts

Young nigga gettin' to it

Gettin' to it, facts

Blessed up (Blessed up), blessed up (Blessed up)

Way up, facts



No recalls on the foreign nigga

Never had to bring May back (Had to bring May back)

I don't really trust these guys

Niggas know I had to bring my strap (Had to bring my strap)

Shorty say the pussy too good

If it is gotta run it all back (Gotta run it all back)

Niggas never say it to your face

They all talk shit behind a nigga back, facts",,,,
Ace Hood,We Here (dunn Dunn),"Now any nigga wanna know who I be

I am Ace to the double O D

Keeps it ""gutter"" 'til I D I E

Running them blocks with the real OGs

Come see me if you need that cheap

Fuck them niggas that's running their teeth

They pop that clip then I'm taking your sneakers

Split your brain, nigga hold that door

Won't stop me 'cause I'm running the south

I'm running the streets, I'm running the block

You running your mouth, you meet my Glock

Pop pop pop pop, your body no top



So give me your cash, I'm taking your last

You want to be bad, I'm busting your ass

Leave a fuck nigga right there in the grass

Middle finger how we feel

You ain't heard how we the best and how we run it in the field

OK, respect the movement, or feel it in your heels

Bring that bitch to your crib like dominos, where the deal

Yeah I got me a deal, but never seen me a mil

So I'm hunting to kill, at anyone in my field

Holler get 'em, I got 'em, I let 'em swallow the steel

Let Khalid warm the cooler, we put them shits on the grill

Yum yum, we at the top of the hill

With that logo straight dangling, tell them strangers we here",,,,
Elvis Presley,Can't Help Falling In Love,"Wise men say

""Only fools rush in""

But I can't help

Falling in love with you



Shall I stay?

Would it be a sin

If I can't help

Falling in love with you?



Like a river flows

Surely to the sea

Darling, so it goes

Some things are meant to be



Take my hand

Take my whole life, too

For I can't help

Falling in love with you



Like a river flows

Surely to the sea

Darling, so it goes

Some things are meant to be



Take my hand

Take my whole life, too

For I can't help

Falling in love with you

For I can't help

Falling in love with you","60s, oldies, classic rock",60s,oldies,classic rock
Elvis Presley,All I Needed Was the Rain,"Hello, misfortune, how's my old friend ""Mr. Misery""?

I've been away so long

I bet you thought you'd seen the last of me



I got no bed to rest my head

No doors or walls or window pane

Now all I needed was the rain

Rain, rain, rain, rain



Met a little honey

At the Buzzin' Bumble Bee Cafe, yes, I did

One drink and all my money

And that honey bee had flown away



I'm 'bout as low as I can go

I don't really mean to complain

Now all I needed was the rain

Rain, rain, rain, rain



All I needed was this rain

All I needed was the rain","rhythm and blues, pop, oldies",rhythm and blues,pop,oldies
Elvis Presley,Blueberry Hill,"I found my thrill on Blueberry Hill

On Blueberry Hill where I found you

The moon stood still on Blueberry Hill

It lingered until my dreams came true



The wind in the willow played

Love's sweet melody

But all of those vows we made

Were never to be



Though we're apart, you're part of me still

For you were my thrill on Blueberry Hill



The wind in the willow played

Love's sweet melody

But all of those vows we made

Were never to be



Though we're apart, you're part of me still

For you were my thrill on Blueberry Hill","rock n roll, oldies, 50s",rock n roll,oldies,50s
Elvis Presley,Double Trouble,"Some guys fall in love with one girl, I gotta fall for two

There's just so much lovin' that one heart's supposed to do

So I go around with my heart draggin' on the ground

Doggin' me around, I'm the sorriest sight in town



I got double trouble, I got double trouble

I got double trouble twice as much as anybody else, oh yeah



I guess there's gotta be two dark clouds hangin' over me

My future looks a bumpy as a matchbox on the sea

Every time I think that I have finally got it made

Some losin' cards are played, I just can't make the grade



I got double trouble, I got double trouble

I got double trouble twice as much as anybody else, oh yeah



I got double trouble, I got double trouble

I got double trouble twice as much as anybody else, oh yeah","rock, 60s, oldies",rock,60s,oldies
Elvis Presley,Goin' Home,,"60s, rock and roll, oldies",60s,rock and roll,oldies
