artist,song,lyrics,genres,genre_1,genre_2,genre_3
Donna Summer,I Believe (in You),"I believe in you

If you believe in me

And I believe that faith and hope and love brings harmony

United once again

We'll stand there hand in hand

And put love back together just the way



I believe in you

If you believe in me

And I believe that faith and hope and love brings harmony

United once again

We'll stand there hand in hand

And put love back together just the way we've always planned



I still remember how it used to be

Seclusion in our love so deep

A world to touch that meant so much to me

And promises we couldn't hope to keep



The cool romance and nights of ecstasy

Slip slowly by on paper wings

The cold reality of you and me

Came creeping like a storm cloud gathering



I believe in you

If you believe in me

And I believe that faith and hope and love brings harmony

United once again

We'll stand there hand in hand

And put love back together just the way we've always planned



The balance of our love hangs tenderly

A careful step through broken glass, yeah

One thoughtless word could kill a memory

And days we loved together in the past



I give and take I do my very best

To keep this vision that I've seen

I give respect if you could just accept

There never really was a perfect me



I believe in you

If you believe in me

And I believe that faith and hope and love brings harmony

United once again

We'll stand there hand in hand

And put love back together just the way we've always planned



You walk away and see yourself in retrospect

Remember all of love's first visions

Step aside try to see just what went wrong

Living together isn't easy all the time



I believe in you if you believe in me, oh

There's still the chance that we can find romance, yeah

I know we can



I believe in you

If you believe in me

And I believe that faith and hope and love brings harmony

United once again

We'll  stand there hand in hand

And put love back together just the way we've always planned

I believe in you, if you believe in me

I believe in you, I believe in you...

United undivided...",,,,
Donna Summer,The Power Of One,"You must always remember



Life can be a challenge

Life can seem impossible

It's never easy

When so much

Is on the line

But you can make a difference

With courage

You can set things right

A gift to dream

And make dreams real

Is yours and mine



The power of one

Begins with believing

It starts in the heart

Then flows through the soul

And changes the world

Imagine how life will be

When we stand in unity

Each of us holds the key

To the power of one



Each of us is chosen

There's a mission just for you

Just look inside

You'd be surprised what you can do



The Power of one

Begins with believing

It starts in the heart

Then flows through the soul

And changes the world

Imagine how life will be

When we stand in unity

Each of us holds the key

To the power of one



One by one

We can make the world

A much better place



The power of one

Begins with believing

It start in the heart

Then flows through the soul

And changes the world

Imagine how life will be

When we stand in unity

Each of us holds a key

It's inside of you and me

Each of us holds the key

To the power of one



The power of one","disco, pop, 70s",disco,pop,70s
The Isley Brothers,I Know Who You Been Socking It To,,"soul, funk, motown",soul,funk,motown
Chic,Dance With Me (Feat. Hailee Steinfeld),,"disco, funk, soul",disco,funk,soul
Grace Jones,Vamp,,"disco, new wave, pop",disco,new wave,pop
Sylvester,I (who Have Nothing),"I, I who have nothing

I, I who have no one

Adore you and want you so

I'm just a no one with nothing to give you but, oh

I love you



He, he buys you diamonds

Bright, sparkling diamonds

But, believe me, dear, when I say

That he can give you the world but he'll never love the way

I love you



He can take you any place he wants

To fancy clubs and restaurants

But I can only watch you with

My nose pressed up against the window pane



I, I who have nothing

I, I who have no one

Must watch you go dancing by

Wrapped in the arms of somebody else when, darling, it's I

Who loves you



I love you

I love you

I love you","disco, 70s, pop",disco,70s,pop
Sia,Butterflies,"We've been to the top, we've been to the bottom 

We've known everything and forgotten, yeah 



You've kicked me around, you've wrapped me in cotton 

You've carried our load, and you've shot 'em 



Oh yes the butterflies are still there 

Oh yes the butterflies are still there 



We've argued by the baggage claim 

We've accepted and we've laid blame 

We've drank Sangthip in monsoonal rain 

We've felt separate and felt the same 



Oh yes the butterflies are still there 

Oh yes the butterflies are still there 

Oh yes the butterflies are still there 

Oh yes the butterflies are still there 



We've shared joy and we've shared pain 

We've shared guilt and we've shared shame 

We've bought into the stupid games 

We've freed each other and we laid claim 



Oh yes the butterflies are still there 

Oh yes the butterflies are still there 

Oh yes the butterflies are still there 

Oh yes the butterflies are still there 



Because we came from the same cocoon","female vocalists, indie, chillout",female vocalists,indie,chillout
Sia,Rewrite,"You don't know me 

You can't hold me 

I'll slip through your hands 

I am one single grain of sand 



You are free to love 

Happily received 

You are free to love 

If that is all you need 



I'm an empty space 

I can't be replaced 

So when you're finished with this dream 

Delete begin to rewrite me 



You are free to love 

Happily received 

You are free to love 

If that is all you need 



You are free to love 

Happily received 

You are free to love 

If that is all you need 



You are free to love 

Happily received 

You are free to love 

Delete and rewrite me","female vocalists, indie, chillout",female vocalists,indie,chillout
Ellie Goulding,Fall Into The Sky,,"love, electronic, female vocalists",love,electronic,female vocalists
Vintage Culture,In The Dark,"Oceans in between us couldn't keep us apart

Mountains in the distance couldn't bury our love

I would search for every stream of every single river

'Cause I know how it feels

And it's real



Must be something in my heart that beats for you

And when it's gets dark, it guides me through

Even when I'm lost, the magnet shows me where you are

'Cause I've got a compass heart



Ooh, I've got a compass heart

And in the dark

Yeah, it shows me where you are



Ooh, I've got a compass heart

And in the dark

Yeah, it shows me where you are



Closer than the feelings flowing in my veins

And the oxygen in every breath I take

Signals never fade and like a flare when I'm in danger

Always saving me, endlessly



Cause there's something in my heart that beats for you

And when it's gets dark, it guides me through

Even when I'm lost, the magnet shows me where you are

'Cause I've got a compass heart



Ooh, I've got a compass heart

And in the dark

Yeah, it shows me where you are



Ooh, I've got a compass heart

And in the dark

Yeah, it shows me where you are



No matter how long it takes, no matter how far away

No matter how long it takes, no matter how far away

No matter how long it takes, it takes, it takes, it takes, it takes...

Ooh, I've got a compass heart



No matter how long it takes, no matter how far away

I would always get to you

No matter how long it takes, just know that I'll find a way

'Cause I've got a compass heart","house, brazil, deep house",house,brazil,deep house
