ALink,SName,Lyric,genres,genre_1,genre_2,genre_3
/running-wild/,Tsar,"[Music: Rolf Kasparek]
[Lyrics: Rolf Kasparek]

At the day of his coronation
He sank down in deepest dispair
Hundreds of russians were dying
By rapture, the sun and its glare

After several years of waiting
He came, the heir to the throne
Their son was born as a bleeder
His parents so sad and alone

The tsarina felt what was coming
A vision that darkened her soul
The tsar was given a warning
Intrigues so darkened and cold

Destiny called, the empire fell
The two-headed eagle that died
Bullets of hate were erasing their lifes
No prayer and nobody cried

[Leadbreak Rolf]

In their darkest hour the ""staretz"" appeared
He saved Aleksej from death
Rasputins' power, a dissolate life
Sentenced to take his last breath

The world was on war, drowning in flames
Gasbombs, horror and death

[Leadbreak Thilo]

The reds brought on revolution
He decided to take his discharge
But they placed him under detention
The red star, its idols should march
The Romanows took up their cross

The desaster was to foresee
On the 16th July 1918
They were slaughtered, a whole dynasty

[Pre]
[Chorus]

","heavy metal, power metal, speed metal",heavy metal,power metal,speed metal
/yngwie-malmsteen/,Forever One,"""Now it's so clear
what i always feared
to walk that lonely road
without you
And though I'm afraid
it's never too late
now's the time to make our dreams come true
eternal flame keeps burning on and on
forever one
I hear the angels calling out your name
I felt so low
as the days turned cold
I know our love
will conquer all
you walked into my life
I was born again
now's the time to make our dreams come true
forever one
eternal flame keeps burning on and on
forever one
I hear the angels calling out your name
forever one
eternal flame keeps burning on and on.
""",,,,
/yngwie-malmsteen/,Aftermath,"[Malmsteen]

When the winds of the gods will meet the land
It will destroy everything made by human hand
When the eye of the storm has finally past
Mass confusion, only the strong will last

[Chorus 1:]
Bringing death and destruction
Releasing its wrath
Just introduction

[Chorus 2:]
Ooh
Aftermath <i>[2]
Ooh ooh ooh

Everything that was here, yesterday is gone
Everything that was right has now turned wrong

[Chorus 1]

[Chorus 2 (2)]

","neoclassical metal, guitar virtuoso, heavy metal",neoclassical metal,guitar virtuoso,heavy metal
/yngwie-malmsteen/,C'est la Vie,"Fighting the odds while we still have time
There is a limit don't cross that line
It's no good with water we cannot drink
We're a ship about to sink.
We pray but the wall is just too high
We pay with our lives to the dark tower in the sky.
C'est la vie life in the shadows
C'est la vie there's no tomorrow
Give us back the blue blue sky
Where the air is so fresh were eagles fly
What good is a planet that's slowly dying
What kind of life can it bring.
We pray but the wall is just too high
We pay with our lives to the dark tower in the sky.
C'est la vie life in the shadows
C'est la vie there's no tomorrow.
","power metal, yngwie malmsteen, guitar",power metal,yngwie malmsteen,guitar
/yngwie-malmsteen/,Disciples Of Hell,"""In the darkness, they will gather
Conjuring the one

Burning candles, incantations
Human sacrifice

Getting drunk from blood, not wine
Pointy daggers shine

Out of fire, smoke and brimstone
The dreaded one will rise

Rise...Burn...Rise...

Nobody knows who's the disciples of hell
Father's a priest and he's casting a spell
No one can stop what's already begun
Worshipping darkness and Lucifer's son

Victims of the grand illusion
Screams of ecstasy
Fools are lost in mass confusion
Searching for the key

Nobody knows who's the disciples of hell
Father's a priest and he's casting a spell
No one can stop what's already begun
Worshipping darkness and Lucifer's son

Raise your cup and praise the prince of darkness
See the truth of the power within the beast
And when the time has come
The gates of hell shall open

Burning candles, incantations
Human sacrifice

Out of fire, smoke and brimstone
The dreaded one will rise

Nobody knows who's the disciples of hell
Father's a priest and he's casting a spell
No one can stop what's already begun
Worshipping darkness and Lucifer's son
""
","guitar virtuoso, heavy metal, power metal",guitar virtuoso,heavy metal,power metal
/yngwie-malmsteen/,Hairtrigger,"""HAIRTRIGGER

I told you once and
I told you twice
you will fall and
I will rise
tell me now who's fooling who
one of us must surely die
it isn't me, it must be you
you're my holy sacrifice
hairtrigger-telling you no lies
hairtrigger-time to say goodbye
you will cry and
you will pray
there's no escape
it's judgement day!
deep inside you know too well
in my hands i hold your fate
in the end we'll meet in hell
you're my holy sacrifice
hairtrigger-now the time has come
hairtrigger-nowhere left to run
hairtrigger.
""
","guitar virtuoso, heavy metal, power metal",guitar virtuoso,heavy metal,power metal
/yngwie-malmsteen/,Magic City,"Well it seemed to me
That the place to be
Was far away
From the dark and the cold

So I sailed away
Into the sun
across the blue sea
Magic city is my home
Where I wanna be
Forever more

Well I had to go away
I just couldn't stay
Where the cold winds blow
And I'm surrounded by ice and snow
So I sailed away
Into the sun
Across the blue sea

Magic city is my home
Where I wanna be
Forever more
Magic city is my home
Where I wanna be
Forever more

--
By Mementrax","guitar virtuoso, heavy metal, power metal",guitar virtuoso,heavy metal,power metal
/yngwie-malmsteen/,Playing With Fire,"As the Pendulum of time
Smoke is clearing in the aftermath
Finally know the truth, the crime
We're the authors of the epitaph

Playing with fire
You'll get burned
Flames grow higher
You'll never learn

Playing with fire, Fire
Playing with fire, Ah
Playing with fire

Architects of war still rule
Turning white souls into black
Do they really think we're fools
In the end we will pay them back

Playing with fire
You'll get burned
Flames grow higher
You'll never learn

Playing with fire, Fire
Playing with fire, Ah
Playing with fire

Playing with fire
You'll get burned
Flames grow higher
You'll never learn
Playing with fire
You'll get burned
Flames grow higher
You'll never learn

Playing with fire, Fire
Playing with fire, Ah
Playing with fire

Fire
","guitar virtuoso, heavy metal, power metal",guitar virtuoso,heavy metal,power metal
/yngwie-malmsteen/,Soldier Without Faith,"""Now the battle is over, the clouds're hanging low
Dead bodies lie on the ground
Marched into slaughter, lost souls fought in vain
No glory or pride to be found

Gotta get out of here, don't want to be around
Trying to find my way home

Gotta get out of here, don't want to be around
Trying to find my way home

Fighting for honour and medals of gold
But, they were to kill or be killed
Slaying the enemy, not knowing why
Keep low and fire at will

Gotta get out of here, don't want to be around
Trying to find my way home

Gotta get out of here, don't want to be around
Trying to find my way home

Lost out in action, long gone forever
Just a boy that died in vain
His mother is crying, his father not proud
Twisted gray faces in the rain

Gotta get out of here, don't want to be around
Trying to find my way home

Gotta get out of here, don't want to be around
Trying to find my way home...
""
","heavy metal, guitar virtuoso, power metal",heavy metal,guitar virtuoso,power metal
/yngwie-malmsteen/,War to End All Wars,"I'm ready for battle
I'm ready for war
Slaughtered like cattle
You Sons of Babylon's Whore
In a matter of time
Titans will clash
To put an end to your lies
And the world turns to ash
I must use The Force
In the War to End All Wars
War to End All Wars

There is no castle
I can't bring down
You will die faster
You fucking clown
In our complication
Someone must bend
My justification will come in the End

I must end this madness
I must use The Force
I must cure this sadness
In the War to End All Wars
I must use The Force
In the War to End All Wars
War to End All Wars
War to End All Wars

I must end this madness
I must use The Force
I must cure this sadness
In the War to End All Wars
I must use The Force
In the War to End All Wars
War to End All Wars
War to End All Wars

","guitar virtuoso, heavy metal, power metal",guitar virtuoso,heavy metal,power metal
