artist,song,lyrics,genres,genre_1,genre_2,genre_3
The Pogues,Dark Streets Of London,,"folk rock, celtic, irish",folk rock,celtic,irish
Nick Drake,From the morning,"A day once dawned and it was beautiful

A day once dawned from the ground

Then the night she fell and the air was beautiful

The night she fell all around



So look, see the days

The endless coloured ways

And go play the game that you learned

From the morning



And now we rise and we are everywhere

And now we rise from the ground

And see she flies, and she is everywhere

See she flies all around



So look, see the sights

The endless summer nights

And go play the game that you learned

From the morning","folk, acoustic, singer-songwriter",folk,acoustic,singer-songwriter
Never Shout Never,Ladybug,"One two three four



And hey there lovely lady bug

You got another thing comin' if you think your loved

You're just another little toy in this game of lust

That boy is cheatin' on you



And hey there small town beauty queen

That sneaky little devil aint comin' clean

And I know that you have just met me

But girl you gotta believe me



That I can't believe

That the girl I saw two months ago

Is right in front of me

You took the chance to take my name

And I couldn't see just what you thought you saw in me

But obviously it's stuck



And hey there little miss diamond ring

Is he all that he's cracked up to be

I find it so hard to believe

'cause girl you just can't smile



And I know I am such a creep

Callin' 24 hours 7 days a week

But I got somethin' to say, I got somethin' to say, I got somethin' to say to you!



That I can't believe

That the girl I had one year ago

Is right in front of me

You took the chance to take my name

And I couldn't see

Just what you thought you saw in me

And obviously it's stuck","acoustic, indie, 2013",acoustic,indie,2013
Wilco,"Jesus, Etc.","Jesus, don't cry

You can rely on me, honey

You can combine anything you want

I'll be around

You were right about the stars

Each one is a setting sun



Tall buildings shake

Voices escape singing sad sad songs

Tuned to chords 

Strung down your cheeks

Bitter melodies turning your orbit around



Don't cry

You can rely on me honey

You can come by any time you want

I'll be around

You were right about the stars

Each one is a setting sun



Tall buildings shake

Voices escape singing sad sad songs

Tuned to chords 

Strung down your cheeks

Bitter melodies turning your orbit around



Voices whine

Skyscrapers are scraping together

Your voice is smoking

Last cigarettes are all you can get

Turning your orbit around



Our love

Our love

Our love is all we have 



Our love

Our love is all of God's money

Everyone is a burning sun



Tall buildings shake

Voices escape singing sad sad songs

Tuned to chords

Strung down your cheeks

Bitter melodies turning your orbit around



Voices whine

Skyscrapers are scraping together

Your voice is smoking

Last cigarettes are all you can get

Turning your orbit around



Last cigarettes are all you can get

Turning your orbit around



Last cigarettes are all you can get

Turning your orbit around","alt-country, indie, indie rock",alt-country,indie,indie rock
Wilco,Nope,"Oh, I can't say what qualifies as pain

So transfixed by the wavering flame

Mortal kings of each grade and grain erased

Oh, I'm blessed



The slant may rain, knows my door

Tambourines my floor in four

Laughs and shakes my folded face where Jesus mowed my lawn



Fame has legs, blazing chrome

Amputate but it's never quite gone

Rakes in clover shown like snakes shine over rate my crime



Why kill a man when you can drive him crazy?

Why make it end when my amusement always depends on the joke?

Won't you lend me my punchline



As a favor, can you be entertained so that day I can savor whatever remains

Of hurricanes too rattled to romance massive plates of circumstances","alt-country, indie, indie rock",alt-country,indie,indie rock
Joan Baez,Ain't Gonna Let Nobody Turn Me Around,"Ain't gonna let nobody turn me around...

Turn me around...

Turn me around...

Ain't gonna let nobody turn me around...

Keep on a-walkin'

Keep on a-talkin'

Gonna build a brand new world.



Ain't gonna let the administration turn me around...

Turn me around...

Turn me around...

Ain't gonna let the administration turn me around...

Keep on a-walkin'

Keep on a-talkin'

Gonna build a brand new world.



Ain't gonna let no first-strike policy turn me around...

Turn me around...

Turn me around...

Ain't gonna let no first-strike policy turn me around...

Keep on a-walkin'

Keep on a-talkin'

Gonna build a brand new world.



Ain't gonna let Indira Ghandi turn me around...

Turn me around...

Turn me around...

Ain't gonna let Indira (how'd she get that name?) 'round...

Keep on a-walkin'

Keep on a-talkin'

Gonna build a brand new world.



Ain't gonna let that Henry Kissenger turn me around...

Turn me around...

Turn me around...

Ain't gonna let that killer Kissenger turn me around...

Keep on a-walkin'

Keep on a-talkin'

Gonna build a brand new world.



Ain't gonna let nobody turn me around...

Turn me around...

Turn me around...

Ain't gonna let nobody turn me around...

Keep on a-swingin'

Keep on a-singin'

Gonna build a brand new world.",,,,
Joan Baez,I Wonder as I Wander,"I wonder as I wander out under the sky

How Jesus the Saviour did come for to die

For poor on'ry people like you and like I;

I wonder as I wander out under the sky



When Mary birthed Jesus 'twas in a cow's stall

With wise men and farmers and shepherds and all

But high from God's heaven, a star's light did fall

And the promise of ages it then did recall.



If Jesus had wanted for any wee thing

A star in the sky or a bird on the wing

Or all of God's Angels in heaven to sing

He surely could have it, 'cause he was the King","folk, singer-songwriter, female vocalists",folk,singer-songwriter,female vocalists
Joan Baez,Ranger's Command,"Come all of you cowboys all over this land

I'll sing you the law of the Ranger's command.



To hold a six-shooter and never to run

As long as there's bullets in both of your guns.



I met a fair maiden whose name I don't know

I asked her to the round-up with me would she go.



She said she'd go with me to the cold round-up

And drink that hard liquor from a cold bitter cup.



We started for the round-up in the fall of the year

Expecting to get there with a herd of fat steer.



When the rustlers broke on us in the dead hour of night

She rose from her warm bed a battle to fight.

She rose from her warm bed with a gun in each hand

Saying, ""Come all you cowboys, and fight for your land.""



Come all of you cowboys, and don't ever run

As long as there's bullets in both of your guns.","folk, cover, 1965",folk,cover,1965
"Peter, Paul And Mary",Hush Little Baby Don't Say A Word,,"folk, 60s, singer-songwriter",folk,60s,singer-songwriter
Elliott Smith,A Passing Feeling,"Everything is gone but the echo of the burst of the shell

And I'm stuck here waiting

For a passing feeling



In the city I built up and blew to hell

I'm stuck here waiting

For a passing feeling



Still I send all the time

My request for relief

Down the dead power line

Though I'm beyond belief



In the help I require

Just to exist at all

Took a long time to stand

Took an hour to fall



I'm stuck here waiting

For a passing feeling



Stuck here waiting

For a passing feeling



Still I send all the time

My request for relief

Down the dead power line

Though I'm beyond belief



In the help I require

Just to exist at all

Took a long time to stand

Took an hour to fall",,,,
