artist,song,lyrics,genres,genre_1,genre_2,genre_3
Tarja Turunen,Until Silence,,"symphonic metal, female vocalists, female fronted metal",symphonic metal,female vocalists,female fronted metal
Susan Boyle,You Have To Be There,"What is it Lord that you want

That I am not seeing?

What in my ignorant prayers

Am I failing to say?

Never before have I questioned the truth of Your being

Never once have I dared

Never until today



All of a tremble

I stand on the edge of confusion

Who is to save me

If into the darkness I fall?

Now that I need more than ever my God to be near me

Do you hear when I call?

Are you there after all?



You have to be there, You have to

My life I have placed in Thy keep

And without you I am drifting, on a dark and stormy sea

You have to be there, You have to

Without You Iâd drown in the deep

Too far, too far from land

The waters drag me down

I reach for Your hand



And when I die who will open His arms to receive me?

Who will forgive me and take me and show me His face?

When I have gone to my rest, will You watch me and wake me?

When my time comes at last, will You grant me your grace?

I am so small on this Earth, I am nothing without you

Daring to doubt You at all is a knife through my heart

Little by little Iâm losing my way in the shadows

I am losing my hope and the world falls apart



You have to be there, You have to

My life I have placed in Thy keep

And without you I am drifting, on a dark and stormy sea

You have to be there, You have to

Without You Iâd drown in the deep

Too far, too far from land

The waters drag me down

I reach for Your hand



You have to be there, You have to

Too far, too far from land

The waters drag me down

I reach for your hand","pop, love it, female vocalists",pop,love it,female vocalists
Taylor Swift,Cruel Summer,"(Yeah, yeah, yeah, yeah)



Fever dream high in the quiet of the night

You know that I caught it (Oh yeah, you're right, I want it)

Bad, bad boy, shiny toy with a price

You know that I bought it (Oh yeah, you're right, I want it)



Killing me slow, out the window

I'm always waiting for you to be waiting below

Devils roll the dice, angels roll their eyes

What doesn't kill me makes me want you more



And it's new, the shape of your body

It's blue, the feeling I've got

And it's ooh, whoa oh

It's a cruel summer

It's cool, that's what I tell 'em

No rules in breakable heaven

But ooh, whoa oh

It's a cruel summer

With you



Hang your head low in the glow of the vending machine

I'm not dying (Oh yeah, you're right, I want it)

We say that we'll just screw it up in these trying times

We're not trying (Oh yeah, you're right, I want it)



So cut the headlights, summer's a knife

I'm always waiting for you just to cut to the bone

Devils roll the dice, angels roll their eyes

And if I bleed, you'll be the last to know



Oh, it's new, the shape of your body

It's blue, the feeling I've got

And it's ooh, whoa oh

It's a cruel summer

It's cool, that's what I tell 'em

No rules in breakable heaven

But ooh, whoa oh

It's a cruel summer

With you



I'm drunk in the back of the car

And I cried like a baby coming home from the bar (Oh)

Said, ""I'm fine,"" but it wasn't true

I don't wanna keep secrets just to keep you

And I snuck in through the garden gate

Every night that summer just to seal my fate (Oh)

And I scream, ""For whatever it's worth

I love you, ain't that the worst thing you ever heard?""

He looks up, grinning like a devil



It's new, the shape of your body

It's blue, the feeling I've got

And it's ooh, whoa oh

It's a cruel summer

It's cool, that's what I tell 'em

No rules in breakable heaven

But ooh, whoa oh

It's a cruel summer

With you



I'm drunk in the back of the car

And I cried like a baby coming home from the bar (Oh)

Said, ""I'm fine,"" but it wasn't true

I don't wanna keep secrets just to keep you

And I snuck in through the garden gate

Every night that summer just to seal my fate (Oh)

And I scream, ""For whatever it's worth

I love you, ain't that the worst thing you ever heard?""

(Yeah, yeah, yeah, yeah)","electropop, pop, synthpop",electropop,pop,synthpop
Taylor Swift,London Boy,"[Idris Elba and James Corden:]

We can go driving in, on my scooter

Uh, you know, just 'round London

Alright, yeah



I love my hometown as much as Motown, I love SoCal

And you know I love Springsteen, faded blue jeans, Tennessee whiskey

But something happened, I heard him laughing

I saw the dimples first and then I heard the accent

They say home is where the heart is

But that's not where mine lives



You know I love a London boy

I enjoy walking Camden Market in the afternoon

He likes my American smile, like a child when our eyes meet

Darling, I fancy you

Took me back to Highgate, met all of his best mates

So I guess all the rumors are true

You know I love a London boy

Boy, I fancy you (Ooh)



And now I love high tea, stories from Uni, and the West End

You can find me in the pub, we are watching rugby with his school friends

Show me a gray sky, a rainy cab ride

Babes, don't threaten me with a good time

They say home is where the heart is

But God, I love the English



You know I love a London boy, I enjoy nights in Brixton

Shoreditch in the afternoon

He likes my American smile, like a child when our eyes meet

Darling, I fancy you

Took me back to Highgate, met all of his best mates

So I guess all the rumors are true

You know I love a London boy

Boy, I fancy you



So please show me Hackney

Doesn't have to be Louis V up on Bond Street

Just wanna be with you

Wanna be with you

Stick with me, I'm your queen

Like a Tennessee Stella McCartney, on the Heath

Just wanna be with you (Wanna be with you)

Wanna be with you (Oh)



You know I love a London boy, I enjoy walking SoHo

Drinking in the afternoon (Yeah)

He likes my American smile, like a child when our eyes meet

Darling, I fancy you (You)

Took me back to Highgate, met all of his best mates

So I guess all the rumors are true (Yeah)

You know I love a London boy (Oh)

Boy (Oh), I fancy you (I fancy you, ooh)



So please show me Hackney

Doesn't have to be Louis V up on Bond Street

Just wanna be with you

I, I, I fancy you

Oh whoa, oh, I

Stick with me, I'm your queen

Like a Tennessee Stella McCartney, on the Heath

Just wanna be with you (Ooh)

Wanna be with you

I fancy you (Yeah), I fancy you

Oh whoa, ah",,,,
Taylor Swift,Sugar,"What a thing to see

What a thing to be

What a perfect love, what a perfect home

'Cause every time she walks

And every time she talks

Is every time he knows what a perfect world he's living on



But whenever he's gone and when she's all alone

His heart goes out to her on the telephone



And he says, ""Sugar, how I love you

How I think about you all the time""

He calls her ""Sugar"" 'cause she's the sweetest thing

Oh, she's the best thing he'll ever find



With her midnight hair

And with his favorite stare

She's a southern belle, he's a rockout king

When she looks around

Oh, she knows she's found

Such a perfect life, such a perfect thing



And whenever he's gone and when she's all alone

His heart goes out to her on the telephone



And he says, ""Sugar, how I love you

How I think about you all the time""

He calls her ""Sugar"" 'cause she's the sweetest thing

Oh, she's the best thing he'll ever find



Oh, there's a reason for every season

There's a change within the range of every heart

But the reason and the season

Seem to be right so far



And he says, ""Sugar, how I love you

How I think about you all the time""

He calls her ""Sugar"" 'cause she's the sweetest thing

Oh, she's the best thing he'll ever find



He calls her ""Sugar""",,,,
Shania Twain,Forever And For Always,"Mm, mm

Mm, in your arms

Oh

I can hear your heartbeat now

I can hear it beating loud



In your arms

I can still feel the way you want me when you hold me

I can still hear the words you whispered when you told me

I can stay right here forever in your arms



And there ain't no way

I'm letting you go now

And there ain't no way

And there ain't no how

I'll never see that day



'Cause I'm keeping you forever and for always

We will be together all of our days

Wanna wake up every morning to your sweet face

Always

Mm, baby



In your heart

I can still hear a beat for every time you kiss me

And when we're apart, I know how much you miss me

I can feel your love for me in your heart



And there ain't no way (And there ain't no way)

I'm letting you go now

And there ain't no way (And there ain't no way)

And there ain't no how

I'll never see that day



'Cause I'm keeping you forever and for always

We will be together all of our days

Wanna wake up every morning to your sweet face

Always



Oh, yeah

Wanna wake up every morning, yeah

Oh



In your eyes (I can still see the look of the one)

I can still see the look of the one who really loves me

(I can still feel the way that you want)

The one who wouldn't put anything else in the world above me

(I can still see love for me) I can still see love for me in your eyes

(I still see the love)



And there ain't no way (And there ain't no way)

I'm letting you go now

And there ain't no way (And there ain't no way)

And there ain't no how

I'll never see that day



'Cause I'm keeping you forever and for always

We will be together all of our days

Wanna wake up every morning to your sweet face

I'm keeping you forever and for always

We will be together all of our days

Wanna wake up every morning to your sweet face

I'm keeping you forever and for always



Oh

I'm keeping you forever

Got to keep you, baby

Oh, forever

In your arms","country, pop, female vocalists",country,pop,female vocalists
Shania Twain,Wild and Wicked,"Full moon cravin' just a little

Young love from an innocent one

No shame it's purely noncommittal

It's the only way to go if you wanna have fun



Kick-start the rhythm pull out on the road

Relyin' on an overload

I need some baby blues reflectin' in the mirror

Tellin' me all the things I wanna hear



Loved and lost

I paid a painful cost

Feel my love

I've reached the point of no return



I'm wild and wicked

Wild and wicked for love

I'm wild and wicked

Wild and wicked for love



I need a guy that's full of sex appeal

I need a guy that looks good in the red

I want someone with a heart that I can steal

I want someone to drive me outta my head



Tight jeans, cute, and the way I might behave

Full of trouble you might say

All those things you said it

Oh I want him in the back that way



Loved and lost

I paid a painful cost

Feel my love

I've reached the point of no return



I'm wild and wicked

Wild and wicked for love

I'm wild and wicked

Wild and wicked for love



I'm wild and wicked

Wild and wicked for love

I'm wild and wicked

Wild and wicked for love",,,,
Johnny Cash,A Croft In Clachan,,,,,
Johnny Cash,Devil's Right Hand,,"country, folk, singer-songwriter",country,folk,singer-songwriter
Johnny Cash,I Heard The Bells On Christmas Day,"I heard the bells on Christmas Day

Their old familiar carols play

And wild and sweet the words repeat

Of peace on earth goodwill to men



I thought how as the day had come

The belfries of all Christendom

Had rolled along unbroken song

Of peace on earth goodwill to men



And in despair I bowed my head

There is no peace on earth I said

For hate is strong that mocks the song

Of peace on earth goodwill to men



Then pealed the bells more loud and deep

God is not dead nor doubt He sleeps

The wrong shall fail the right prevail

With peace on earth goodwill to men



Till ringin' singin' on its way

The world revolve from night to day

A voice a chime a chance so blind

Of peace on earth goodwill to men



Then pealed the bells more loud and deep

God is not dead nor doubt He sleeps

The wrong shall fail the right prevail

With peace on earth goodwill to men","christmas, country, folk",christmas,country,folk
Johnny Cash,Matthew Twenty-Four (Is Knocking at the Door),,"country, folk, singer-songwriter",country,folk,singer-songwriter
Johnny Cash,Southwind,"Southwind

You picked her up in Jacksonville

And left me cold and lonesome in the rain

South- wind

You took her off to Nashville

Left me chokin' in the smoke behind the train

And you go whoooo-wooo-hoo

She's gone a- gain on the South- wind.



Southwind

I need a forty-dollar ticket

And about this time tomorrow I'll be gone

Southwind

But if I had forty dollars

I would by myself a smile to carry on

And you go whoooo-wooo-hoo

She's gone again on the Southwind.



Southwind

Take her fast and take her far

'Cause that's the way she always likes to go

Southwind

I will be waitin' for the round trip

If you'll bring her back and I done told her so

Don't you go whoooo-wooo-hoo

She's gone again on the Southwind.","country, folk, singer-songwriter",country,folk,singer-songwriter
