artist,song,lyrics,genres,genre_1,genre_2,genre_3
Lady Gaga,Superstar,"[Rodney Jerkins:]

Oh oh oh oh

Oh oh oh oh

Oh oh oh oh

Oh oh oh oh

Oh oh oh oh

Oh oh oh oh

Oh oh oh oh



Everybody wants the lights lights

All the flashes, 'cause we're gonna rock the night, night

Break out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar

Everybody wants the lights, lights

All the flashes, 'cause we're gonna rock the night, night

Break out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar




[Lady Gaga:]

I want your number

Did I see you on the TV?

I wonder, I wonder

You got that something

That junoesque baby, I'm feeling love connection

Have we met before? (baby, 'cause I think I've seen you)

In a movie or on the radio? (I don't know, but I want you)

I'm not certain, but let's dance some more (baby, 'cause I think I've seen you)

Tonight you'll be my superstar

Tonight you'll be my superstar




[Lady Gaga & Rodney Jerkins:]

Everybody wants the lights lights

All the flashes, 'cause we're gonna rock the night, night

Take out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar

Everybody wants the lights, lights

All the flashes, 'cause we're gonna rock the night, night

Take out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar




[Lady Gaga:]

Want you to text me

I bet you could really Hollywood kiss me (Hollywood kiss me)

You've got that something

Were you in that movie with Scarlett Johansson? (Scarlett Johansson)

Have we met before (baby, 'cause I think I've seen you)

In a movie or on the radio? (I don't know but I want you)

I'm not certain but let's dance some more (baby, 'cause I think I've seen you)

Tonight you'll be my superstar, tonight you'll be my superstar




[Lady Gaga & Rodney Jerkins:]

Everybody wants the lights lights

All the flashes, 'cause we're gonna rock the night life

Take out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar




[Lady Gaga:]

Don't really know who you are, but tonight you're gonna be my superstar

Come on baby move with me, can't you see?

I'm a celebrity

Don't really know who you are, but tonight you're gonna be my superstar

Come on baby move with me, can't you see?

I'm a celebrity




[Rodney Jerkins:]

Everybody wants the lights, lights

All the flashes, 'cause we're gonna rock the night, night

Break out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar

Everybody wants the lights, lights

All the flashes, 'cause we're gonna rock the night, night

Break out your glasses

Tonight you are a superstar, superstar, superstar

Tonight you are a superstar, superstar, superstar","pop, mothermonster, dance",pop,mothermonster,dance
Ariana Grande,Faith,,,,,
Ariana Grande,The Way (Feat. Mac Miller),,"pop, rnb, 2013",pop,rnb,2013
Katy Perry,The One That Got Away,"Summer after high school, when we first met

We'd make out in your Mustang to Radiohead

And on my eighteenth birthday, we got matching tattoos

Used to steal your parents' liquor and climb to the roof

Talked about our future like we had a clue

Never planned that one day I'd be losing you



In another life, I would be your girl

We'd keep all our promises, be us against the world

In another life, I would make you stay

So I don't have to say you were the one that got away

The one that got away



I was June, and you were my Johnny Cash

Never one without the other, we made a pact

Sometimes when I miss you, I put those records on, whoa

Someone said you had your tattoo removed

Saw you downtown, singing the blues

It's time to face the music, I'm no longer your muse



But in another life, I would be your girl

We'd keep all our promises, be us against the world

In another life, I would make you stay

So I don't have to say you were the one that got away

The one that got away



The one

The one

The one

The one that got away



All this money can't buy me a time machine, no

Can't replace you with a million rings, no

I should've told you what you meant to me, whoa

'Cause now I pay the price



In another life, I would be your girl

We'd keep all our promises, be us against the world

In another life, I would make you stay

So I don't have to say you were the one that got away

The one that got away



The one (The one)

The one (The one)

The one (The one)

In another life, I would make you stay

So I don't have to say you were the one that got away

The one that got away","pop, katy perry, female vocalists",pop,katy perry,female vocalists
Katy Perry,Lost,"I'm out on my own again

Face down in the porcelain

Feeling so high, but looking so low

Party favors on the floor

Group of girls banging on the door

So many new fair-weather friends

Oh, oh, oh



Have you ever been so lost?

Known the way and still so lost



Caught in the eye of a hurricane

Slowly waving goodbye like a pageant parade

So sick of this town pulling me down, oh

My mother says I should come back home, but

Can't find the way 'cause the way is gone

So if I pray, am I just sending words into outer space?



Have you ever been so lost?

Known the way and still so lost

Another night waiting for someone to take me home

Have you ever been so lost?



Is there a light, is there a light

At the end of the road?

I'm pushing everyone away

'Cause I can't feel this anymore

Feel this anymore



Have you ever been so lost?

Know the way and still so lost

Another night waiting for someone to take me home

Have you ever been so lost? (Been so lost)

Have you ever been so lost?



(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)

(Oh-oh, oh-oh, oh)","pop, katy perry, pop rock",pop,katy perry,pop rock
Alok,Don't Say Goodbye (Feat. Ilkay Sencan & Tove Lo),,"electronic, dance, edm",electronic,dance,edm
One Direction,Grenade,"Easy come, easy go

That's just how you live, oh

Take, take, take it all

But you never give

Should've known you was trouble

From the first kiss

Had your eyes wide open

Why were they open?




[Bridge]

Gave you all I had

And you tossed it in the trash

You tossed it in the trash, you did

To give me all your love

Is all I ever asked

Cause what you don't understand

Is




[Chorus]

I'd catch a grenade for you (yeah, yeah, yeah)

Throw my hand on a blade for you (yeah, yeah, yeah)

I'd jump in front of a train for you (yeah, yeah, yeah)

You know I'd do anything for you (yeah, yeah, yeah)



I would go through all this pain

Take a bullet straight through my brain

Yes, I would die for you, baby

But you won't do the same



Black, black, black and blue

Beat me 'til I'm numb

Tell the devil I said ""Hey"" when you get back to where you're from

Mad woman, bad woman

That's just what you are

Yeah, you smile in my face then rip the brakes out my car




[Bridge]

Gave you all I had

And you tossed it in the trash

You tossed it in the trash, yes you did

To give me all your love

Is all I ever asked

Cause what you don't understand

Is




[Chorus]

I'd catch a grenade for you (yeah, yeah, yeah)

Throw my hand on the blade for you (yeah, yeah, yeah)

I'd jump in front of a train for you (yeah, yeah, yeah)

You know I'd do anything for you (yeah, yeah, yeah)

I would go through all this pain

Take a bullet straight through my brain

Yes, I would die for you, baby

But you won't do the same","pop, love, cover",pop,love,cover
Mariah Carey,4real4real (feat.da Brat),,"pop, rnb, female vocalists",pop,rnb,female vocalists
Mariah Carey,I Pray,"Ooh, yeah



Lord I pray

That in my lifetime there will come a day

When the world will wake up with unclouded eyes and

There'll be no more need to cry

Won't you bring that dream to life



Oh Lord I pray

Deliver us from bigotry and hate

Please give shelter to the wayward children

And comfort them and keep them safe



Oh Lord I pray

For a world with no weapons one day

Please give wisdom to the ones who lead us

Jesus help them find their way



Oh, I'm praying that the love you shower down on us

Will lift us up and we will live as one

I know there'll come a day

I know you'll make a way

Please listen as I pray



Lord, I pray (Lord, I pray)

That in my lifetime there will come a day

When the world will wake up with unclouded eyes and

There'll be no more need to cry

Won't you bring that dream to life?



Lord, I pray (Lord, I pray)

That in my lifetime there will come a day (There will come a time)

When we all can open up our hearts and minds

And see we're all the same inside

Won't you bring that dream to life?



Won't you bring that dream to life?","gospel, 2005, rnb",gospel,2005,rnb
Mariah Carey,Silent Night,"Silent night

Holy night

All is calm

All is bright

'Round yon virgin Mother and Child

Holy infant so tender and mild

Sleep in heavenly peace

Sleep in heavenly peace



Silent night

Holy night

Son of God

Oh love's pure light

Radiant beams from thy holy face

With the dawn of redeeming grace

Jesus, Jesus, Lord at Thy birth

Oh, Jesus, Lord at Thy birth...



Sleep

Sleep

Sleep in heavenly heavenly peace

Sleep in heavenly heavenly peace

Sleep

Sleep

Sleep in heavenly heavenly heavenly peace

Peace

Peace

Sleep

Sleep

Sleep in heavenly peace","christmas, rb, pop",christmas,rb,pop
