artist,song
/grave-digger/,Headbanging Man
/grave-digger/,Hero
/grave-digger/,Intro
/grave-digger/,Let Your Heads Roll
/grave-digger/,Medusa
/grave-digger/,Over The Sea
/grave-digger/,Resurrection Day
/grave-digger/,Scythe Of Time
/grave-digger/,Soul Savior
/grave-digger/,The Ballad Of Mary (Queen Of Scots)
/grave-digger/,The Madness Continues
/grave-digger/,Tristan's Fate
/grave-digger/,We Wanna Rock You
/children-of-bodom/,Angels Don't Kill
/children-of-bodom/,Bodom After Midnight
/children-of-bodom/,"Done With Everything, Die For Nothing"
/children-of-bodom/,Hellion
/children-of-bodom/,Kissing The Shadows
/children-of-bodom/,My Bodom (I Am The Only One)
/children-of-bodom/,Pussyfoot Miss Suicide
/children-of-bodom/,Shot In The Dark (COVER OZZY OSBOURNE)
/children-of-bodom/,Taste Of My Scythe
/children-of-bodom/,Ugly
/children-of-bodom/,You're Better Off Dead!
/primal-fear/,The Sky Is Burning
/primal-fear/,Black Rain
/primal-fear/,Colony 13
/primal-fear/,Eye Of An Eagle
/primal-fear/,Give em Hell
/primal-fear/,Kill The King
/primal-fear/,Metal Is Forever
/primal-fear/,No Smoke Without Fire
/primal-fear/,Rollercoaster
/primal-fear/,Silver And Gold
/primal-fear/,The Immortal Ones
/primal-fear/,We Walk Without Fear
/annihilator/,Ambush
/annihilator/,Bled
/annihilator/,Clare
/annihilator/,Denied
/annihilator/,Fiasco (The Slate)
/annihilator/,Hunter Killer
/annihilator/,Kicked
/annihilator/,Mending
/annihilator/,Only Be Lonely
/annihilator/,Punctured
/annihilator/,Sexecution
/annihilator/,Stonewall
/annihilator/,The Perfect Virus
/annihilator/,W.T.Y.D.
/deicide/,Behead The Prophet (No Load Shall Live)
/deicide/,Confessional Rape
/deicide/,Desecration
/deicide/,Holy Deception
/deicide/,Lunatic Of God's Creation
/deicide/,Remnant Of A Hopeless Path
/deicide/,Suffer Again
/deicide/,Trick Or Betrayed
/danger-danger/,Beat The Bullet
/danger-danger/,Don't Walk Away
/danger-danger/,Hearts On The Highway
/danger-danger/,My Secret
/danger-danger/,That’s What I’m Talking About
/samael/,Ailleurs
/samael/,Black Trip
/samael/,Exodus
/samael/,Jupiterian Vibe
/samael/,My Saviour
/samael/,Radiant Star
/samael/,Sound Of Galaxies
/samael/,Total Consecration
/samael/,Winter Solstice
